Title	URL	Assignees	Status
Design a Team Logo and T-Shirt	https://github.com/amosproj/amos2024ss02-international-dataspace-station/issues/1	timoKroecker	Awaiting Review
Run EDC Connector Samples	https://github.com/amosproj/amos2024ss02-international-dataspace-station/issues/5	daku-de, EkaterinaIvanishcheva, esracosgun, xenia1w	In Progress
Gain understanding of Gaia-X Framework	https://github.com/amosproj/amos2024ss02-international-dataspace-station/issues/3	leones18, rathu2712, skanatova	In Progress
Connect the connector to Gaia-X			Product Backlog
Establish a connection between 2 connectors			Product Backlog
Read documentation regarding AWS and Kubernetes			Product Backlog
